Specimen_ID,Species Common Name,Species Scientific Name,Length (cm),Length Type,Original_Length_Units,Weight (kg),Weight Type,Original_Weight_Units,Sex,Maturity,Maturity_Info,Alternate_Specimen_ID
298,Pacific Sleeper Shark,Somniosus pacificus,69,Total Length(?),centimeters,6.04,Total,kilograms,M,,,KodEnt_5_24_18b
299,Pacific Sleeper Shark,Somniosus pacificus,55,Total Length(?),centimeters,2.44,Total,kilograms,F,,,KodEnt_9_8_18
300,Pacific Sleeper Shark,Somniosus pacificus,108,Total Length(?),centimeters,19.26,Total,kilograms,M,,,KodEnt_11_1_18
301,Pacific Sleeper Shark,Somniosus pacificus,128,Total Length(?),centimeters,,,,F,,,KodEnt_11_2_18
302,Pacific Sleeper Shark,Somniosus pacificus,96,Total Length(?),centimeters,10.86,Total,kilograms,M,,,KodEnt_11_2_18b
303,Pacific Sleeper Shark,Somniosus pacificus,94,Total Length(?),centimeters,11.3,Total,kilograms,M,,,KodEnt_11_2_18c
304,Pacific Sleeper Shark,Somniosus pacificus,87,Total Length(?),centimeters,,,,M,,,KodEnt_11_8_18
305,Pacific Sleeper Shark,Somniosus pacificus,82,Total Length(?),centimeters,,,,M,,,
306,Pacific Sleeper Shark,Somniosus pacificus,71,Total Length(?),centimeters,,,,M,,,
307,Pacific Sleeper Shark,Somniosus pacificus,64,Total Length(?),centimeters,,,,F,,,
308,Pacific Sleeper Shark,Somniosus pacificus,66,Total Length(?),centimeters,,,,M,,,
309,Pacific Sleeper Shark,Somniosus pacificus,119,Total Length(?),centimeters,19.46,Total,kilograms,M,,,
310,Pacific Sleeper Shark,Somniosus pacificus,143,Total Length(?),centimeters,,,,M,,,
311,Pacific Sleeper Shark,Somniosus pacificus,78,Total Length(?),centimeters,6.38,Total,kilograms,F,,,
312,Pacific Sleeper Shark,Somniosus pacificus,83,Total Length(?),centimeters,7.82,Total,kilograms,M,,,
313,Pacific Sleeper Shark,Somniosus pacificus,71,Total Length(?),centimeters,4.04,Total,kilograms,M,,,
314,Pacific Sleeper Shark,Somniosus pacificus,140,Total Length(?),centimeters,,,,F,,,
315,Pacific Sleeper Shark,Somniosus pacificus,349.5,Total Length,centimeters,,,,F,,,EM2_1 5/24/2022
326,Spiny Dogfish,Squalus suckleyi,84,Total Length(?),centimeters,,,,F,,,1
327,Spiny Dogfish,Squalus suckleyi,88,Total Length(?),centimeters,,,,F,,,2
328,Spiny Dogfish,Squalus suckleyi,90,Total Length(?),centimeters,,,,F,,,3
329,Spiny Dogfish,Squalus suckleyi,90,Precaudal Length,centimeters,,,,F,,,4
330,Spiny Dogfish,Squalus suckleyi,66,Precaudal Length,centimeters,,,,M,,,5
331,Spiny Dogfish,Squalus suckleyi,73,Precaudal Length,centimeters,,,,M,,,6
332,Spiny Dogfish,Squalus suckleyi,69,Precaudal Length,centimeters,,,,M,,,7
333,Spiny Dogfish,Squalus suckleyi,69,Precaudal Length,centimeters,,,,M,,,8
334,Spiny Dogfish,Squalus suckleyi,67,Total Length(?),centimeters,,,,M,,,9
335,Spiny Dogfish,Squalus suckleyi,63,Total Length(?),centimeters,,,,M,,,10
336,Spiny Dogfish,Squalus suckleyi,71,Total Length(?),centimeters,,,,M,,,11
337,Spiny Dogfish,Squalus suckleyi,64,Total Length(?),centimeters,,,,M,,,12
338,Spiny Dogfish,Squalus suckleyi,70,Total Length(?),centimeters,,,,M,,,13
339,Spiny Dogfish,Squalus suckleyi,65,Total Length(?),centimeters,,,,M,,,14
340,Spiny Dogfish,Squalus suckleyi,69,Total Length(?),centimeters,,,,M,,,15
341,Spiny Dogfish,Squalus suckleyi,65,Total Length(?),centimeters,,,,M,,,16
342,Spiny Dogfish,Squalus suckleyi,70,Total Length(?),centimeters,,,,M,,,17
343,Spiny Dogfish,Squalus suckleyi,69,Total Length(?),centimeters,,,,M,,,18
